2023-08-01-14:36:12,923,-0.62,0.99,10.64,-0.05,0.01,-0.02,22.91,1439.91,90.87,85185,-1.105955167,36.97588583,20230601,0
2023-08-01-14:36:12,924,0,0,0,0,0,0,23.58,1440.58,0.45,85176,-1.105955833,36.97588617,11360800,0
2023-08-01-14:36:13,925,-0.64,0.99,10.64,-0.05,0.01,-0.02,23.48,1440.48,0.01,85183,-1.105955833,36.97588617,11360800,0
2023-08-01-14:36:13,926,-0.64,0.99,10.63,-0.05,0,-0.02,23.58,1440.58,0,85172,-1.105955833,36.97588617,20230601,0
2023-08-01-14:36:13,927,-0.63,0.99,10.63,-0.05,0.01,-0.02,22.91,1439.91,0.46,85186,-1.105955833,36.97588617,20230601,0
2023-08-01-14:36:13,928,-0.64,0.99,10.62,-0.05,0.01,-0.02,22.91,1439.91,0,85186,-1.105955833,36.97588617,20230601,0
2023-08-01-14:36:13,929,-0.64,1,10.64,-0.05,0.01,-0.02,23,1440,0.46,85180,-1.1059555,36.975886,11360900,0
2023-08-01-14:36:13,930,-0.64,0.99,10.64,-0.05,0.01,-0.02,23.58,1440.58,0.01,85178,-1.1059555,36.975886,11360900,0
2023-08-01-14:36:14,931,-0.63,1,10.64,-0.05,0.01,-0.02,23.48,1440.48,0,85180,-1.1059555,36.975886,20230601,0
2023-08-01-14:36:14,932,-0.63,0.99,10.64,-0.19,0.02,-0.09,23.29,1440.29,0,85169,-1.1059555,36.975886,20230601,0
2023-08-01-14:36:14,933,-0.65,1,10.63,-0.05,0.01,-0.02,23.48,1440.48,0.46,85175,-1.1059555,36.975886,20230601,0
2023-08-01-14:36:14,934,-0.64,1,10.63,-0.05,0,-0.02,23.39,1440.39,-0.01,85177,-1.1059555,36.975886,20230601,0
2023-08-01-14:36:14,935,0,0,0,0,0,0,23.77,1440.77,90.87,85179,-1.105955333,36.97588583,11361000,0
2023-08-01-14:36:14,936,-0.65,0.99,10.64,-0.05,0.01,-0.02,23.67,1440.67,0,85180,-1.105955333,36.97588583,11361000,0
2023-08-01-14:36:15,937,-0.64,0.99,10.65,-0.05,0,-0.02,23.39,1440.39,92.25,85176,-1.105955333,36.97588583,20230601,0
