time_log,id,ax,ay,az,gx,gy,gz,AGL,altitude,velocity,pressure,latitude,longitude,time,state
2023-08-01-15:50:05,254,-0.54,1.09,10.66,-0.04,0.01,-0.02,-2.11,1437.89,0.01,85209,-1.105961833,36.975886,20230601,0
2023-08-01-15:50:07,255,-0.54,1.08,10.66,-0.04,0.01,-0.02,-2.78,1437.22,0,85216,-1.105962333,36.97588567,12495300,0
2023-08-01-15:50:08,256,-0.54,1.1,10.66,-0.04,0.01,-0.02,-2.97,1437.03,0,85217,-1.105962333,36.97588567,12495300,0
2023-08-01-15:50:09,257,-0.53,1.09,10.66,-0.04,0.01,-0.02,-3.35,1436.65,0,85214,-1.105962333,36.97588567,20230601,0
2023-08-01-15:50:09,258,-0.54,1.09,10.66,-0.04,0.01,-0.02,-3.64,1436.36,-0.01,85214,-1.105962667,36.9758855,12495400,0
2023-08-01-15:50:10,259,-0.62,1.08,10.65,-0.05,0.01,-0.02,-3.45,1436.55,0,85213,-1.105962667,36.9758855,20230601,0
2023-08-01-15:50:10,260,-0.46,1.06,10.46,-0.06,-0.04,-0.02,-2.58,1437.42,0,85209,-1.105962667,36.9758855,20230601,0
2023-08-01-15:50:11,261,-1.2,1.17,10.6,-0.05,0.11,-0.06,-3.06,1436.94,0,85214,-1.105963167,36.97588567,12495500,0
2023-08-01-15:50:11,262,-0.26,1,10.71,-0.05,0.03,-0.02,-2.78,1437.22,0,85213,-1.105963167,36.97588567,12495500,0
2023-08-01-15:50:12,263,-0.37,1.04,10.69,-0.06,0.12,-0.05,-2.11,1437.89,0,85204,-1.105963167,36.97588567,20230601,0
2023-08-01-15:50:12,264,-0.78,1.11,10.74,-0.06,0.11,-0.05,-3.16,1436.84,-0.01,85210,-1.105963333,36.97588583,12495600,0
2023-08-01-15:50:12,265,-0.47,1.22,10.81,-0.03,-0.02,-0.01,-2.78,1437.22,0,85209,-1.105963333,36.97588583,12495600,0
2023-08-01-15:50:12,266,-0.81,0.91,10.48,-0.04,-0.02,-0.02,-4.69,1435.31,-0.01,85232,-1.105963333,36.975886,12495700,0
2023-08-01-15:50:13,267,-0.6,1.13,10.72,-0.06,0.06,-0.04,-6.32,1433.68,-0.01,85254,-1.105963333,36.975886,12495700,0
2023-08-01-15:50:13,268,-0.55,1.08,10.73,-0.05,0.02,-0.03,-7.09,1432.91,0.01,85263,-1.105963333,36.975886,20230601,0
2023-08-01-15:50:13,269,-0.67,0.9,10.48,-0.04,-0.01,-0.02,0.96,1440.96,0.01,85175,-1.105963,36.97588583,12495800,0
2023-08-01-15:50:14,270,-0.46,1.2,10.77,-0.03,-0.04,-0.01,-0.57,1439.43,0,85179,-1.105963,36.97588583,20230601,0
2023-08-01-15:50:14,271,0.02,1.02,10.81,-0.04,0.03,-0.02,0.1,1440.1,0.01,85184,-1.105962167,36.97588583,12495900,0
2023-08-01-15:50:14,272,-0.42,1.1,10.52,-0.02,0,-0.04,-0.76,1439.24,0,85190,-1.105962167,36.97588583,12495900,0
2023-08-01-15:50:14,273,-0.5,0.71,10.92,-0.12,0.42,-0.03,-0.86,1439.14,0,85191,-1.105962667,36.97588567,12500000,0
2023-08-01-15:50:14,274,-2.73,0.26,13.03,-0.27,-0.18,-0.02,0.58,1440.58,0.01,85180,-1.1059635,36.9758855,12500100,0
2023-08-01-15:50:15,275,-0.84,1.2,11.49,-0.11,0.35,-0.08,0.96,1440.96,0.01,85175,-1.1059635,36.9758855,12500100,0
2023-08-01-15:50:15,276,-0.91,0.11,11.19,0.11,0.24,0,1.34,1441.34,-0.01,85171,-1.1059635,36.9758855,20230601,0
2023-08-01-15:50:15,277,-1.31,1.17,10.98,-0.06,0.06,-0.04,1.82,1441.82,0,85163,-1.105963333,36.97588567,12500200,0
2023-08-01-15:50:15,278,-0.87,1,10.8,-0.01,0.09,-0.03,2.59,1442.59,0,85151,-1.105963333,36.97588567,20230601,0
2023-08-01-15:50:16,279,-1.38,0.62,10.94,-0.11,0.02,-0.02,2.21,1442.21,0,85157,-1.105962,36.975886,12500300,0
2023-08-01-15:50:16,280,-1.35,0.83,10.66,-0.02,-0.1,-0.03,2.11,1442.11,0,85157,-1.1059605,36.97588583,12500500,0
2023-08-01-15:50:16,281,-0.82,1.11,10.88,0,-0.06,-0.04,3.26,1443.26,0,85151,-1.105959,36.97588583,12500600,0
2023-08-01-15:50:16,282,-1.22,1,10.81,-0.06,-0.03,-0.02,3.26,1443.26,0,85156,-1.105959,36.97588583,20230601,0
2023-08-01-15:50:16,283,-1.29,0.71,10.73,0.03,0.05,-0.02,2.69,1442.69,0,85151,-1.105959,36.97588583,20230601,0
2023-08-01-15:50:16,284,-1.16,1.12,10.95,-0.03,0.02,-0.01,3.07,1443.07,-0.01,85148,-1.105959,36.97588583,20230601,0
2023-08-01-15:50:16,285,-1.2,0.97,10.54,-0.06,0.05,0,3.93,1443.93,0,85138,-1.105956,36.97588617,12501000,0
2023-08-01-15:50:17,286,-1.06,0.86,10.79,-0.06,0.1,-0.03,3.93,1443.93,0,85141,-1.105956,36.97588617,20230601,0
2023-08-01-15:50:17,287,-1.29,1.03,10.77,-0.04,0,-0.01,4.41,1444.41,0,85135,-1.105956167,36.97588667,12501100,0
2023-08-01-15:50:17,288,-1.39,0.79,10.67,0.01,0.04,0,4.7,1444.7,0,85131,-1.105956167,36.97588667,12501100,0
2023-08-01-15:50:17,289,-1.2,0.92,10.64,-0.08,0.05,-0.01,5.08,1445.08,0,85128,-1.105956167,36.97588667,20230601,0
2023-08-01-15:50:18,290,-1.05,0.59,10.35,-0.06,0.04,-0.01,5.85,1445.85,0,85131,-1.105955667,36.97588467,12501200,0
2023-08-01-15:50:18,291,-0.97,1.09,10.99,0,-0.02,-0.02,6.52,1446.52,0.01,85127,-1.105955667,36.97588467,20230601,0
2023-08-01-15:50:18,292,-1.28,0.91,10.98,-0.01,-0.02,-0.02,6.42,1446.42,0,85120,-1.105955667,36.97588467,20230601,0
2023-08-01-15:50:18,293,-1.28,0.53,10.73,-0.1,0.02,-0.04,6.04,1446.04,0,85122,-1.105954333,36.97588167,12501300,0
2023-08-01-15:50:18,294,-1.32,0.8,10.77,-0.11,0.05,-0.04,4.89,1444.89,0,85130,-1.105954333,36.97588167,20230601,0
2023-08-01-15:50:18,295,-0.84,1.39,11.18,-0.11,0,-0.03,4.89,1444.89,0,85128,-1.105954333,36.97588167,20230601,0
2023-08-01-15:50:19,296,-1.13,1.03,10.8,0.02,-0.02,0.01,6.71,1446.71,0,85114,-1.105954333,36.97588167,20230601,0
2023-08-01-15:50:19,297,-1.19,0.97,10.88,0.05,-0.01,-0.01,5.85,1445.85,-0.02,85110,-1.105952833,36.97588283,12501400,0
2023-08-01-15:50:19,298,-1.03,0.77,10.8,-0.11,0.05,-0.05,7,1447,0,85108,-1.105952833,36.97588283,20230601,0
2023-08-01-15:50:19,299,-1.3,0.93,10.64,-0.07,0.06,-0.03,7.96,1447.96,0.01,85106,-1.105952833,36.97588283,20230601,0
2023-08-01-15:50:20,300,-1.06,0.9,10.68,0.05,-0.07,0.01,8.92,1448.92,0.01,85092,-1.105952833,36.97588283,20230601,0
2023-08-01-15:50:20,301,-0.96,0.61,11.1,0.02,-0.05,-0.02,9.49,1449.49,0.03,85089,-1.105952833,36.97588283,20230601,0
2023-08-01-15:50:20,302,-0.98,1.09,10.79,-0.12,0.05,-0.01,9.97,1449.97,0,85081,-1.105953,36.97588317,12501500,0
2023-08-01-15:50:20,303,-1.06,0.97,11,-0.06,0.02,-0.01,9.4,1449.4,0,85087,-1.105953,36.97588317,12501500,0
2023-08-01-15:50:20,304,-1.19,1.02,10.97,-0.03,0.02,-0.01,9.11,1449.11,0,85090,-1.105953,36.97588317,20230601,0
2023-08-01-15:50:20,305,-1.13,0.84,10.65,-0.06,0.07,-0.01,9.59,1449.59,0,85087,-1.105953,36.97588317,20230601,0
2023-08-01-15:50:21,306,-1.12,0.9,10.64,-0.05,0.08,-0.02,10.84,1450.84,0.01,85077,-1.105953,36.97588317,20230601,0
2023-08-01-15:50:21,307,-1,0.74,10.69,-0.03,0.07,-0.04,11.22,1451.22,0.01,85075,-1.1059535,36.97588233,12501600,0
2023-08-01-15:50:21,308,-1.13,1.06,10.47,-0.03,0.02,-0.03,13.14,1453.14,0.02,85060,-1.1059535,36.97588233,20230601,0
2023-08-01-15:50:21,309,-1.29,0.75,10.8,-0.09,0.01,-0.04,13.14,1453.14,0,85049,-1.1059535,36.97588233,20230601,0
2023-08-01-15:50:21,310,-1.25,0.85,10.59,-0.1,0.05,-0.04,12.75,1452.75,0,85050,-1.1059535,36.97588233,20230601,0
2023-08-01-15:50:22,311,-0.95,0.88,10.79,-0.02,0.03,-0.03,12.75,1452.75,0,85053,-1.1059535,36.97588233,20230601,0
2023-08-01-15:50:22,312,-0.8,1.08,11,-0.09,0.03,-0.03,13.04,1453.04,0,85049,-1.105950167,36.975882,12501700,0
2023-08-01-15:50:22,313,-0.81,1.13,10.91,-0.05,0,-0.02,13.14,1453.14,0.01,85047,-1.105950167,36.975882,12501700,0
2023-08-01-15:50:22,314,-1.21,0.93,10.56,-0.05,0,-0.02,13.23,1453.23,0,85046,-1.105950167,36.975882,20230601,0
2023-08-01-15:50:22,315,-1.5,0.83,10.95,-0.04,0.04,-0.01,13.33,1453.33,0,85042,-1.105950167,36.975882,20230601,0
2023-08-01-15:50:22,316,-1.03,0.84,11.37,-0.04,0.08,-0.02,13.52,1453.52,0,85037,-1.105950167,36.975882,20230601,0
2023-08-01-15:50:23,317,-1.18,0.84,10.9,-0.02,0.05,-0.01,14.67,1454.67,0,85030,-1.105950167,36.975882,20230601,0
2023-08-01-15:50:23,318,-1.03,1.02,11.15,-0.01,-0.07,-0.02,15.15,1455.15,0,85028,-1.105947167,36.97588317,12501800,0
2023-08-01-15:50:23,319,-1.06,0.99,11.09,-0.04,-0.02,-0.02,14.87,1454.87,-0.01,85023,-1.105947167,36.97588317,20230601,0
2023-08-01-15:50:24,320,-1.16,0.78,10.4,-0.04,0.02,-0.02,16.59,1456.59,0.01,85017,-1.105947167,36.97588317,20230601,0
2023-08-01-15:50:24,321,-0.67,0.96,10.7,-0.07,0.01,-0.04,16.5,1456.5,0.01,85021,-1.105947167,36.97588317,20230601,0
2023-08-01-15:50:24,322,-0.76,0.96,11.01,-0.05,0.02,-0.02,17.46,1457.46,0.01,85004,-1.105947167,36.97588317,20230601,0
2023-08-01-15:50:24,323,-0.69,1.05,10.86,-0.05,0,-0.02,17.84,1457.84,0,84997,-1.105951333,36.97588083,12501900,0
2023-08-01-15:50:24,324,-0.68,0.9,9.48,-0.04,0,-0.02,16.88,1456.88,0,85006,-1.105951333,36.97588083,20230601,0
2023-08-01-15:50:24,325,-0.81,0.6,8.79,-0.02,0.01,-0.05,16.88,1456.88,0,85005,-1.105951333,36.97588083,20230601,0
2023-08-01-15:50:25,326,-0.47,0.68,7.18,-0.04,0.04,-0.02,16.11,1456.11,-0.01,85011,-1.105946,36.97588,12502000,0
2023-08-01-15:50:25,327,-0.86,0.46,7.53,-0.03,0.02,-0.03,16.59,1456.59,0.01,85013,-1.105946,36.97588,20230601,0
2023-08-01-15:50:25,328,-0.67,0.59,8.54,-0.05,0.06,-0.04,16.88,1456.88,0,85010,-1.105946,36.97588,20230601,0
2023-08-01-15:50:25,329,-0.84,0.75,9.62,-0.05,0.09,-0.02,16.21,1456.21,-0.01,85011,-1.105946,36.97588,20230601,0
2023-08-01-15:50:25,330,-0.64,0.83,9.94,0,0.06,-0.01,16.21,1456.21,0,85015,-1.105946,36.97588,20230601,0
2023-08-01-15:50:25,331,-0.89,1.03,10.69,-0.09,-0.05,-0.01,16.11,1456.11,0,85006,-1.105946,36.97588,20230601,0
2023-08-01-15:50:26,332,-1.14,0.72,10.3,-0.09,-0.03,-0.01,17.55,1457.55,0.01,85001,-1.105937333,36.97588417,12502100,0
2023-08-01-15:50:26,333,-0.95,0.83,10.89,-0.03,-0.02,-0.02,17.74,1457.74,0,85000,-1.105937333,36.97588417,12502100,0
2023-08-01-15:50:26,334,-0.94,0.87,10.91,0,0.01,-0.02,18.03,1458.03,0,84997,-1.105937333,36.97588417,20230601,0
2023-08-01-15:50:26,335,-0.65,1.12,11.22,-0.01,0.02,-0.01,17.74,1457.74,0,84988,-1.105937333,36.97588417,20230601,0
2023-08-01-15:50:26,336,-1.08,1.08,10.47,-0.09,-0.01,0.02,17.17,1457.17,-0.01,85004,-1.105937333,36.97588417,20230601,0
2023-08-01-15:50:26,337,-0.89,1.14,10.51,-0.08,0.01,0.08,17.26,1457.26,0,84995,-1.105937333,36.97588417,20230601,0
2023-08-01-15:50:27,338,-0.99,1.01,10.27,-0.08,0.05,0.35,18.61,1458.61,0,84983,-1.1059375,36.9758905,12502200,0
2023-08-01-15:50:27,339,-0.94,0.84,10.25,-0.1,0.06,0.43,18.7,1458.7,-0.01,84986,-1.1059375,36.9758905,20230601,0
2023-08-01-15:50:27,340,-0.92,0.79,10.29,-0.09,0.07,0.56,20.24,1460.24,0.04,84982,-1.1059375,36.9758905,20230601,0
2023-08-01-15:50:27,341,-0.83,0.61,10.38,-0.07,0.07,0.61,17.74,1457.74,-0.01,84976,-1.1059375,36.9758905,20230601,0
2023-08-01-15:50:27,342,-0.47,1.04,10.96,-0.19,0.08,0.68,17.65,1457.65,-0.02,84980,-1.1059375,36.9758905,20230601,0
2023-08-01-15:50:28,343,-0.83,0.84,10.27,-0.2,0.05,0.68,18.99,1458.99,0.02,84986,-1.105936833,36.97588917,12502300,0
2023-08-01-15:50:28,344,-0.83,0.6,10.11,-0.12,0.02,0.66,19.76,1459.76,0.01,85000,-1.105936833,36.97588917,12502300,0
2023-08-01-15:50:28,345,-1.27,0.68,10.47,-0.12,-0.02,0.68,19.57,1459.57,-0.01,84979,-1.105936833,36.97588917,20230601,0
2023-08-01-15:50:28,346,-1.29,0.66,11.26,-0.11,0.18,0.68,18.13,1458.13,-0.01,84983,-1.105936833,36.97588917,20230601,0
2023-08-01-15:50:28,347,-0.65,0.92,10.52,-0.03,-0.14,0.59,19.28,1459.28,0,84981,-1.105936833,36.97588917,20230601,0
2023-08-01-15:50:28,348,-1.26,0.71,11.28,-0.06,0.02,0.59,18.7,1458.7,-0.01,84979,-1.105936833,36.97588917,20230601,0
2023-08-01-15:50:29,349,-1.1,0.68,11.31,-0.16,0.26,0.53,17.55,1457.55,-0.01,84990,-1.105936,36.97588883,12502400,0
2023-08-01-15:50:29,350,-1.08,0.01,10.6,-0.1,0.1,0.07,18.61,1458.61,0,84995,-1.105936,36.97588883,12502400,0
2023-08-01-15:50:29,351,-0.67,0.01,10.46,-0.04,0.17,0.07,19.28,1459.28,0,84985,-1.105936,36.97588883,20230601,0
2023-08-01-15:50:29,352,-0.86,0.79,11.09,-0.1,0.09,-0.04,18.32,1458.32,-0.01,84987,-1.105936,36.97588883,20230601,0
2023-08-01-15:50:30,353,-0.74,0.54,10.14,-0.16,0.03,-0.05,19.76,1459.76,0.02,84985,-1.105936,36.97588883,20230601,0
2023-08-01-15:50:30,354,-0.29,0.42,10.97,-0.06,0.05,-0.03,18.61,1458.61,0,84995,-1.105946833,36.9758915,12502500,0
2023-08-01-15:50:30,355,-0.18,0.53,10.32,-0.05,-0.05,-0.03,19.18,1459.18,0,84995,-1.105946833,36.9758915,20230601,0
2023-08-01-15:50:30,356,-0.65,0.73,10.18,0.03,-0.16,-0.01,18.7,1458.7,0,84992,-1.105946833,36.9758915,20230601,0
2023-08-01-15:50:30,357,-0.6,0.59,11.43,-0.04,-0.31,0.02,18.99,1458.99,0,84984,-1.105946833,36.9758915,20230601,0
2023-08-01-15:50:30,358,-0.83,-0.05,10.67,-0.02,-0.19,0,19.76,1459.76,0.01,84980,-1.105946833,36.9758915,20230601,0
2023-08-01-15:50:30,359,-1.21,0.46,11.24,-0.02,0.12,-0.02,19.28,1459.28,0,84982,-1.105943333,36.97588967,12502600,0
2023-08-01-15:50:31,360,-1.29,0.36,10.89,-0.14,0.15,-0.03,19.66,1459.66,0.01,84983,-1.105943333,36.97588967,20230601,0
2023-08-01-15:50:31,361,-0.66,0.1,10.28,-0.03,-0.02,-0.01,18.99,1458.99,-0.01,84986,-1.105943333,36.97588967,20230601,0
2023-08-01-15:50:31,362,-0.48,0.36,10.99,0,-0.09,0.01,19.09,1459.09,0.01,84987,-1.105943333,36.97588967,20230601,0
2023-08-01-15:50:31,363,-0.69,0.39,11.33,-0.11,-0.01,-0.03,18.32,1458.32,0,84991,-1.105943333,36.97588967,20230601,0
2023-08-01-15:50:31,364,-0.6,0.32,10.99,-0.07,-0.04,-0.04,19.09,1459.09,0,84986,-1.105939333,36.97589717,12502700,0
2023-08-01-15:50:32,365,-0.28,0.6,11.21,-0.09,0.11,-0.03,19.28,1459.28,0,84980,-1.105939333,36.97589717,20230601,0
2023-08-01-15:50:32,366,-0.15,0.32,10.73,-0.05,0.02,-0.03,19.18,1459.18,0,84979,-1.105939333,36.97589717,12502700,0
2023-08-01-15:50:32,367,-0.19,0.2,10.3,-0.01,-0.02,-0.01,18.9,1458.9,-0.02,84987,-1.105939333,36.97589717,20230601,0
2023-08-01-15:50:32,368,-0.33,0.54,11.18,-0.06,0.07,-0.02,19.47,1459.47,0,84981,-1.105939333,36.97589717,20230601,0
