time_log,id,ax,ay,az,gx,gy,gz,AGL,altitude,velocity,pressure,latitude,longitude,time,state
2023-08-01-14:40:31,2330,0,0,0,0,0,0,24.06,1441.06,0,85164,-1.105953333,36.97588633,11402700,0
2023-08-01-14:40:32,2331,-0.81,1.08,10.61,-0.05,0.01,-0.02,23.96,1440.96,0,85168,-1.105953333,36.97588633,11402700,0
2023-08-01-14:40:32,2332,-0.81,1.07,10.6,-0.05,0.01,-0.02,24.34,1441.34,0,85176,-1.105953333,36.97588633,20230601,0
2023-08-01-14:40:32,2333,-0.8,1.07,10.61,-0.05,0.01,-0.02,23.96,1440.96,0,85172,-1.105953333,36.97588633,20230601,0
2023-08-01-14:40:32,2334,-0.8,1.07,10.6,-0.05,0,-0.02,23.86,1440.86,0.76,85175,-1.105953333,36.97588633,20230601,0
2023-08-01-14:40:32,2335,-0.8,1.07,10.6,-0.05,0.01,-0.02,23.86,1440.86,-0.01,85174,-1.105953333,36.97588633,20230601,0
2023-08-01-14:40:33,2336,-0.81,1.07,10.61,-0.19,0.02,-0.09,23.86,1440.86,-0.01,85170,-1.105954,36.97588667,11402800,0
2023-08-01-14:40:33,2337,-0.8,1.07,10.59,-0.05,0,-0.02,-1.31,1415.69,-0.15,85171,-1.105954,36.97588667,11402800,0
2023-08-01-14:40:33,2338,-0.81,1.07,10.6,-0.05,0.01,-0.02,24.25,1441.25,0.01,85175,-1.105954,36.97588667,20230601,0
2023-08-01-14:40:33,2339,-0.81,1.07,10.6,-0.05,0.01,-0.02,23.67,1440.67,0.37,85176,-1.105954,36.97588667,20230601,0
2023-08-01-14:40:33,2340,-0.81,1.07,10.59,-0.05,0.01,-0.02,23.77,1440.77,-0.01,85169,-1.105954,36.97588667,20230601,0
2023-08-01-14:40:33,2341,-0.81,1.07,10.61,-0.19,0.02,-0.09,23.86,1440.86,0,85168,-1.105954333,36.97588667,11402900,0
2023-08-01-14:40:34,2342,-0.81,1.07,10.6,-0.05,0.01,-0.02,23.58,1440.58,-0.01,85176,-1.105954333,36.97588667,11402900,0
2023-08-01-14:40:34,2343,-0.79,1.07,10.6,-0.05,0,-0.02,23.86,1440.86,0,85174,-1.105954333,36.97588667,20230601,0
2023-08-01-14:40:34,2344,-0.81,1.07,10.59,-0.05,0.01,-0.02,24.34,1441.34,89.86,85180,-1.105954333,36.97588667,20230601,0
2023-08-01-14:40:34,2345,-0.81,1.07,10.59,-0.19,0.02,-0.09,23.77,1440.77,0,85177,-1.105954333,36.97588667,20230601,0
2023-08-01-14:40:34,2346,-0.81,1.07,10.6,-0.05,0.01,-0.02,23.58,1440.58,0,85180,-1.105954333,36.97588667,20230601,0
2023-08-01-14:40:34,2347,-0.81,1.07,10.59,-0.05,0.01,-0.02,23.96,1440.96,-0.01,85174,-1.105954167,36.9758865,11403000,0
2023-08-01-14:40:35,2348,-0.8,1.07,10.61,-0.05,0.01,-0.02,23.86,1440.86,0.37,85170,-1.105954167,36.9758865,11403000,0
2023-08-01-14:40:35,2349,-0.8,1.07,10.59,-0.05,0.01,-0.02,24.25,1441.25,92.61,85169,-1.105954167,36.9758865,20230601,0
2023-08-01-14:40:35,2350,-0.81,1.07,10.59,-0.19,0.02,-0.09,23.67,1440.67,0,85172,-1.105954167,36.9758865,20230601,0
2023-08-01-14:40:35,2351,-0.8,1.07,10.59,-0.05,0.01,-0.02,24.06,1441.06,0.01,85170,-1.105954167,36.9758865,20230601,0
2023-08-01-14:40:35,2352,-0.8,1.08,10.6,-0.05,0,-0.02,24.15,1441.15,0,85168,-1.105953333,36.97588683,11403100,0
2023-08-01-14:40:36,2353,-0.81,1.07,10.61,-0.05,0.01,-0.02,23.29,1440.29,-0.01,85175,-1.105953333,36.97588683,11403100,0
2023-08-01-14:40:36,2354,-0.8,1.06,10.58,-0.05,0.01,-0.02,23.48,1440.48,0,85173,-1.105953333,36.97588683,20230601,0
2023-08-01-14:40:36,2355,-0.81,1.07,10.6,-0.05,0.01,-0.02,23.39,1440.39,-0.01,85176,-1.105953333,36.97588683,20230601,0
2023-08-01-14:40:36,2356,-0.81,1.07,10.58,-0.05,0,-0.02,24.06,1441.06,128.96,85179,-1.105953333,36.97588683,20230601,0
2023-08-01-14:40:36,2357,-0.81,1.07,10.6,-0.05,0,-0.02,23.86,1440.86,0.79,85166,-1.105953333,36.97588683,20230601,0
2023-08-01-14:40:37,2358,-0.8,1.07,10.59,-0.05,0.01,-0.02,23.96,1440.96,0,85167,-1.1059525,36.97588667,11403200,0
2023-08-01-14:40:37,2359,-1.62,2.13,21.17,-0.05,0,-0.02,24.25,1441.25,0,85171,-1.1059525,36.97588667,20230601,0
2023-08-01-14:40:37,2360,-0.81,1.06,10.58,-0.05,0.01,-0.02,24.25,1441.25,0,85171,-1.1059525,36.97588667,20230601,0
2023-08-01-14:40:37,2361,-0.82,1.07,10.6,-0.05,0,-0.02,24.25,1441.25,0.01,85169,-1.1059525,36.97588667,20230601,0
2023-08-01-14:40:37,2362,-0.8,1.07,10.61,-0.05,0,-0.02,23.77,1440.77,91.2,85169,-1.1059525,36.97588667,20230601,0
2023-08-01-14:40:37,2363,-0.81,1.07,10.61,-0.05,0.01,-0.02,24.44,1441.44,89.85,85168,-1.1059535,36.975887,11403300,0
2023-08-01-14:40:38,2364,-0.8,1.07,10.59,-0.05,0.01,-0.02,23.86,1440.86,0,85176,-1.1059535,36.975887,11403300,0
2023-08-01-14:40:38,2365,-0.8,1.06,10.59,-0.05,0.01,-0.02,24.44,1441.44,0,85165,-1.1059535,36.975887,20230601,0
